age_resp,asset_value,bank,base_age,busia,child,child_age,child_female,connected,connected_r,connected_rate,educ,electric_lighting,emi,energy_spending,energyspending,female,fraction_employed_all,gridelec_spending,hhid,hours_worked,housing,iron,kerosene_spending,knowledge_index,life_index,market,metered,mobilephone,moved,nemi,number_appliances,percapcons,population,r_crime_index,radio,reppid,round2,sibs,siteno,solar_shs,st_score_kcpe,st_studenttest,survey,symptoms_index,television,tot_hh_month_earn,transearly,treat_full,treat_low,treat_med,treated_all
61,95.826897,0,58,0,0,,,0,,5.3333335,0,0,1.5669607,3.2479475,5.3607984,0,100,0,24,61,-.57668519,0,0,,.060736455,0,,1,0,.73338181,2,978.01111,417,.58609635,1,1105.24,1,0,1105,0,,,19oct2017,.74527425,0,12.030938,0,0,0,0,0
74,1106.0022,0,60,0,0,,,0,,5.3333335,0,0,.33144674,0,3.8987622,1,100,0,25,63,-.57668519,0,0,,1.1323246,0,,1,0,.84950137,2,170.32777,417,-.26507324,1,1105.25,1,2,1105,0,,,19oct2017,.74527425,0,8.2100897,0,0,0,0,0
67,1685.2203,0,64,0,0,,,1,,5.3333335,0,1,-1.3120646,1.1277596,32.164787,0,0,.31577265,26,24,-.57668519,0,.81198686,,.060736455,0,,1,0,.4901177,2,59.150536,417,.58609635,0,1105.26,1,3,1105,0,,,19oct2017,.28350979,0,2.841954,0,0,0,0,0
24,619.83899,0,60,0,0,,,0,,5.3333335,0,0,1.383328,4.8719211,3.8987622,0,50,0,27,78,-.57668519,0,.81198686,,.77512848,0,,1,0,.095149778,6,356.5705,417,-1.3397892,1,1105.27,1,0,1105,0,,,19oct2017,.74527425,1,32.445641,0,0,0,0,0
75,2770.0376,0,65,0,0,,,0,,5.3333335,0,0,.090132833,6.089901,6.3354888,0,0,0,28,70,-.57668519,0,6.089901,,.060736455,0,,1,0,-.23967452,2,272.16446,417,.58609635,1,1105.28,1,0,1105,0,,,19oct2017,-1.1017835,0,3.7892721,0,0,0,0,0
61,1430.5398,,55,0,0,,,0,,5.3333335,0,0,.13115753,14.20977,6.8228331,0,0,0,30,80,-.57668519,0,6.089901,,.060736455,0,,1,0,.97664583,2,240.73245,417,.58609635,1,1105.30,1,2,1105,0,,,19oct2017,1.2070386,0,.1894636,0,0,0,0,0
73,1219.6151,0,70,0,0,,,0,,4.3103447,0,0,2.0505435,29.231525,7.3101792,1,0,0,11,70,-.57668519,0,4.8719211,,-.29645956,1,,1,0,-.97010553,1,964.05389,608,-1.8285069,0,1106.11,1,2,1106,1,,,20oct2017,.28350979,0,75.785439,0,0,0,0,0
39,739.32562,1,34,0,0,,,0,,4.3103447,0,0,.73455185,25.98358,2.9240716,0,100,0,12,80,-.57668519,0,5.683908,,1.8467165,1,,1,0,.94446927,3,229.97722,608,.58609635,1,1106.12,1,4,1106,0,,,20oct2017,-.64001912,0,4.9260535,0,0,0,0,0
69,2422.2029,1,66,0,0,,,0,,4.3103447,0,0,2.0371301,21.923645,3.4114168,1,100,0,14,65,-.57668519,0,1.6239737,,-1.3680476,1,,1,0,-.95425844,2,574.83258,608,-.26507324,1,1106.14,1,0,1106,0,,,20oct2017,-.17825466,0,71.333046,0,0,0,0,0
23,2339.4763,0,38,0,0,,,0,,4.3103447,0,0,1.3564166,16.753996,9.6007023,0,100,0,15,80,-.57668519,0,.81198686,,.060736455,1,,1,0,.4901177,3,589.16864,608,.58609635,1,1106.15,1,1,1106,1,,,20oct2017,.28350979,0,5.2102489,0,0,0,0,0
21,107.01331,0,,0,0,,,0,,4.3103447,0,0,-.011579392,25.64525,1.4620358,1,50,0,16,62,-.57668519,0,8.1198692,,1.8467165,1,,1,0,.35427976,2,174.23073,608,-1.4577317,1,1106.16,1,3,1106,1,,,20oct2017,.28350979,0,15.157088,0,0,0,0,0
55,2032.0648,0,64,0,0,,,0,,4.3103447,0,0,.85973376,46.892242,26.852726,1,25,0,17,80,-.57668519,0,8.1198692,,1.4895205,1,,1,0,-.17864305,3,426.97516,608,-.26507324,1,1106.17,1,2,1106,1,,,20oct2017,-1.563548,1,5.7786398,0,0,0,0,0
74,1570.6833,0,71,0,0,,,0,,4.3103447,0,0,1.1481307,8.5258617,3.4114168,1,100,0,18,55,-.66418463,0,2.841954,,-1.0108516,1,,1,0,.013785268,2,362.34912,608,.58609635,1,1106.18,1,0,1106,0,,,20oct2017,-.17825466,0,.94731802,0,0,0,0,0
58,3016.5674,0,55,0,0,,,1,,4.3103447,1,1,.90331089,9.924283,34.11417,0,25,5.0523624,19,80,1.7684222,0,.81198686,,-.65365559,1,,1,0,-.36259958,2,218.80339,608,-.31814155,0,1106.19,1,3,1106,0,,,20oct2017,.28350979,1,34.712437,0,0,0,0,0
39,976.15399,0,36,0,0,,,1,,4.3103447,0,1,-.0093058348,7.2402163,5.8481431,1,33.333336,5.2102489,20,80,-.57668519,0,2.0299673,,.060736455,1,,1,0,.97664583,4,120.49885,608,.58609635,1,1106.20,1,3,1106,0,,,20oct2017,1.2070386,1,.078943163,0,0,0,0,0
33,858.3833,0,38,0,0,,,0,,4.3103447,0,0,-.51310676,8.1198692,3.8987622,1,50,0,21,41,-.57668519,0,4.0599346,,-.65365559,1,,1,0,.11376583,2,59.523148,608,.58609635,1,1106.21,1,4,1106,0,,,20oct2017,.28350979,0,.63154531,0,0,0,0,0
39,1666.4772,1,37,0,0,,,1,,4.3103447,0,1,-.3168655,7.9777703,11.696286,1,0,2.6998563,22,57,1.7684222,0,1.2179803,,1.8467165,1,,1,0,2.4767504,1,113.70184,608,.58609635,0,1106.22,1,6,1106,0,,,20oct2017,.74527425,0,13.617696,0,0,0,0,0
41,1324.2854,0,38,0,0,,,0,,4.3103447,0,0,-.67767072,9.3378487,18.031776,1,0,0,23,66,-.57668519,0,2.841954,,.060736455,1,,1,0,-.30556419,1,80.825172,608,-.92426896,0,1106.23,1,6,1106,0,,,20oct2017,.28350979,0,0,0,0,0,0,0
49,3325.2,1,51,0,0,,,1,,4.3103447,0,1,.23714344,3.1577268,15.595047,1,0,3.1577268,24,80,-.66418463,1,0,,1.8467165,1,,1,0,1.6742615,4,143.23448,608,.58609635,1,1106.24,1,3,1106,0,,,20oct2017,.74527425,1,0,0,0,0,0,0
55,2894.9028,0,50,0,0,,,0,,4.3103447,0,0,2.2884321,5.683908,1.9493811,1,66.666672,0,25,80,-.57668519,0,.81198686,,-1.3680476,1,,1,1,-.019321959,3,816.20917,608,.58609635,1,1106.25,1,0,1106,0,,,20oct2017,.74527425,0,20.367336,0,0,0,0,0
43,298.56812,0,40,0,0,,,0,,4.3103447,0,0,1.1188079,10.149836,6.3354888,0,100,0,26,80,-.57668519,0,6.089901,,.060736455,1,,1,0,.97664583,2,443.83743,608,.58609635,1,1106.26,1,3,1106,0,,,20oct2017,1.2070386,0,11.367816,0,0,0,0,0
49,783.64227,0,46,0,0,,,0,,11.267606,0,0,-.87673563,34.103447,18.519119,1,20,0,11,44,-.57668519,0,5.683908,,1.1323246,1,,1,0,.99093783,2,150.02811,974,.58609635,1,1107.11,1,2,1107,0,,,09oct2017,-.17825466,0,5.4132457,1,0,0,1,1
49,2914.7678,0,55,0,0,,,1,,11.267606,1,1,.76393151,28.193987,0,1,50,7.8943167,13,80,-.66418463,1,0,,-.65365559,1,20jun2015,1,0,-.24315484,3,204.02861,974,.58609635,0,1107.13,1,4,1107,0,,,09oct2017,-.17825466,1,29.603687,1,0,0,1,1
49,259.46518,0,65,0,0,,,0,,11.267606,0,0,-1.5996256,1.6239737,4.1424346,1,0,0,14,14,-.57668519,0,1.6239737,,1.8467165,1,,0,0,.3442845,0,46.986973,974,.58609635,0,1107.14,1,1,1107,0,,,09oct2017,-1.563548,0,0,1,0,0,1,1
