Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
4,21,6,28.59,26,.,26.59,1,26,26.59,0,0,30,26.59
4,22,1,12.33,10,.,10.33,2,10,10.33,1,1,30,10.33
4,22,2,0.97,0.96,.,0.96,2,0.96,0.96,1,1,30,0.96
4,22,3,8.38,8,.,8,2,8,8,1,1,30,8
4,22,4,16.04,12.54,.,12.54,2,12.54,15.14,1,1,30,15.14
4,22,5,8.76,7.5,.,7.5,2,7.5,7.5,1,1,30,7.5
4,22,6,24.1,22.6,.,23.1,2,22.6,23.1,1,1,30,23.1
4,23,1,28.38,12.13,.,23.39,1,12.13,24.42,0,0,30,24.42
4,23,2,22.41,19.41,.,19.91,1,19.41,20.41,0,0,30,20.41
4,23,3,15.86,14.86,.,14.86,0,14.86,14.86,0,0,30,14.86
4,23,4,5.43,4.13,.,4.33,0,4.13,4.93,0,0,30,4.93
4,23,5,23.34,19.34,.,20.54,1,19.34,20.54,0,0,30,20.54
4,23,6,19.64,18.64,.,19.04,0,18.64,19.04,0,0,30,19.04
4,24,1,7.74,5.52,.,7.01,2,5.52,6.99,0,1,30,6.99
4,24,2,13.75,10,.,10.25,2,10,10.5,0,1,30,10.5
4,24,3,0.68,0.63,.,0.63,2,0.63,0.63,0,1,30,0.63
4,24,4,23.11,16.11,.,18.51,2,16.11,19.11,0,1,30,19.11
4,24,5,28.4,22.4,.,22.4,2,22.4,23.4,0,1,30,23.4
4,24,6,13.19,12.59,.,12.59,2,12.59,12.59,0,1,30,12.59
4,25,1,17.01,13.13,.,12.01,2,13.13,15.01,0,1,30,15.01
4,25,2,3.8,3.5,.,3.6,2,3.5,3.7,0,1,30,3.7
4,25,3,25.98,20.98,.,21.23,2,20.98,23.48,0,1,30,23.48
4,25,4,16.64,12.64,.,13.64,2,12.64,14.64,0,1,30,14.64
4,25,5,4.7,4,.,4,2,4,4,0,1,30,4
4,25,6,13.69,13.09,.,13.09,2,13.09,13.09,0,1,30,13.09
4,26,1,18.86,13,.,15.01,2,13,15.87,0,1,30,15.87
4,26,2,22.82,19.82,.,20.82,2,19.82,21.82,0,1,30,21.82
4,26,3,19.43,16.93,.,17.68,2,16.93,18.18,0,1,30,18.18
4,26,4,3.27,2.77,.,2.77,2,2.77,3.02,0,1,30,3.02
4,26,5,25.7,20.7,.,21.7,2,20.7,21.7,0,1,30,21.7
4,26,6,10.17,9.5,.,10.07,2,9.5,10.07,0,1,30,10.07
4,27,1,25.83,20.87,.,16.13,1,20.87,22.21,1,0,30,22.21
4,27,2,7.26,6,.,6.5,0,6,7,1,0,30,7
4,27,3,28.87,23.87,.,23.87,0,23.87,23.87,1,0,30,23.87
4,27,4,3.02,2.52,.,2.52,0,2.52,2.8,1,0,30,2.8
4,27,5,27.84,21.84,.,22.84,1,21.84,22.84,1,0,30,22.84
4,27,6,0.9,0.55,.,0.55,1,0.55,0.55,1,0,30,0.55
